star_id,alternate_id,prot_days,prot_err_days,prot_err_plus_days,prot_err_minus_days,age_gyr,age_err_gyr,age_err_plus_gyr,age_err_minus_gyr,bibcode,sample_name,tier_name,quality_note,teff_k,spectral_type_estimate,age_label_type,period_measurement_type,source_url
Gaia EDR3 2051099015605500672,KIC 2297584,18.02,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051104757981275264,KIC 2438685,7.78,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051104891118311040,KIC 2437994,1.85,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051104891120796672,KIC 2437990,13.15,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051104959840285696,KIC 2437791,15.28,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051104964139549824,KIC 2437941,10.12,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051104994200024448,KIC 2438113,5.80,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051105097281783040,KIC 2438031,8.28,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051105131636983808,KIC 2437646,13.23,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051105234715895552,KIC 2437707,11.00,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051105273377206784,KIC 2437801,7.19,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051105342091728384,KIC 2437761,11.81,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051105372154852736,KIC 2437849,11.02,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051105372154855552,KIC 2437944,1.96,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051105372157195264,,2.45,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051105578318626304,KIC 2438569,7.00,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051105612675379968,KIC 2438390,3.80,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051105685689315968,KIC 2438129,16.58,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051105784484742144,KIC 2570443,2.20,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051105818833811584,KIC 2438344,7.74,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051105857492894592,KIC 2570649,13.36,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051105921913036160,KIC 2570622,9.57,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051105926212896512,KIC 2570559,1.32,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051107055787471104,KIC 2438631,7.36,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051287002024520064,,10.86,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051287066449451136,KIC 2436942,9.26,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051287066449464064,KIC 2436959,2.65,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051287070744003456,KIC 2436969,7.92,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051287242549232384,KIC 2436767,12.32,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051287895379273088,KIC 2436011,10.00,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051288372119657728,KIC 2569185,13.43,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051288376420896384,KIC 2569162,5.90,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051291262638872192,KIC 2568864,14.42,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051291503157017472,KIC 2568685,19.87,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051292873245240192,KIC 2437350,16.82,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051292911906089728,KIC 2437521,11.27,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051292946259301504,KIC 2437092,3.20,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051293014978876672,KIC 2437584,5.90,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051293083704791040,KIC 2437354,7.21,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051293113776412416,KIC 2437613,11.05,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051293148133456896,KIC 2437062,8.82,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051293152424243968,KIC 2436909,12.00,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051293186783997056,,9.63,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051293186784004096,KIC 2437238,4.00,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051293255503480320,KIC 2437079,5.81,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051293289863230720,KIC 2437338,1.24,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051293319934813184,KIC 2569984,12.50,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051293358583014528,KIC 2569763,8.29,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051293392942762240,KIC 2569825,0.48,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051293427302195584,KIC 2437884,3.23,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051293530375009920,KIC 2570217,5.55,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051293663519464192,KIC 2570420,19.96,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051293977053182592,KIC 2436790,9.61,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051294007116759808,KIC 2569597,7.17,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051294148851985536,,9.66,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051294148857020160,KIC 2569767,2.40,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051294217574157440,,4.92,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051294251931077888,KIC 2569279,1.14,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051294281994746880,KIC 2569324,10.90,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051294286296294528,KIC 2569334,6.29,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051294797390943872,KIC 2569591,14.89,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
Gaia EDR3 2051296176081696768,KIC 2570281,14.42,,,,8.91,,,,2022AcA....72...77S,NGC 6791 rotational cluster-member variables,Tier 3 - inspect before training,"cluster-member rotational variable at NGC 6791 age; variable-star catalog; inspect for binarity, blending/crowding, pulsation, or non-single-star evolution before use",,,,,
